citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,v1,v2,v3,v4,v5
C70015,Odyssey,3,2,0,14,3,3,2,0,9,1,0,0,0,1,1,0,0,0,2,0,15,15,0,15,15,21,19,0,41,20
C70016,Tokugawa,9,7,12,0,4,7,4,7,0,2,1,0,0,0,1,0,3,5,0,0,15,15,14,0,13,32,29,38,0,20
C70017,Cosmos,0,2,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,4,0,0,10
C70018,Centaur,9,1,0,3,3,1,0,0,2,3,0,0,0,0,0,8,1,0,1,0,11,0,0,15,0,29,2,0,21,6
C70019,Centaur,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,17,0,0,19,0
C70020,Centaur,7,0,0,20,0,5,0,0,15,0,0,0,0,2,0,2,0,0,1,0,15,0,0,15,15,29,0,0,53,15
C70021,Ebony,0,9,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,15,0,0,0,0,31,0,0,0
C70022,Odyssey,0,0,0,6,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,0,15,0,27,17
C70023,Ebony,1,4,7,0,0,1,2,1,0,0,0,1,3,0,0,0,0,0,0,0,7,3,10,0,0,9,10,21,0,0
C70024,Centaur,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,15,15,27,0,0,15,15
C70025,Odyssey,1,1,0,4,1,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,11,7,0,15,7,13,9,0,23,9
C70026,Odyssey,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,15,0,0,0,25,15
C70027,Centaur,12,0,6,0,0,1,0,3,0,0,2,0,1,0,0,1,0,1,0,0,8,0,15,0,0,24,0,26,0,0
C70028,Centaur,2,4,2,0,3,1,3,0,0,3,0,0,1,0,0,1,1,0,0,0,15,12,15,0,12,19,20,18,0,18
C70029,Cosmos,0,0,8,1,3,0,0,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0,15,15,10,0,0,27,17,15
C70030,Centaur,12,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,35,0,0,0,0
C70031,Odyssey,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,31,0
C70032,Ebony,0,7,0,0,1,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,15,0,0,15,0,27,0,0,17
C70033,Ebony,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,23,0,0,0
C70034,Cosmos,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,15,0,0,0,19,18
C70035,Centaur,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,17,0,0,17,2
C70036,Ebony,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,15,0,0,0,19,18,0,0
C70037,Ebony,0,8,0,1,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,12,0,15,0,0,26,0,17,0
C70038,Ebony,0,15,0,0,2,0,8,0,0,2,0,1,0,0,0,0,3,0,0,0,0,15,0,0,7,0,42,0,0,11
C70039,Tokugawa,0,1,7,2,0,0,1,2,1,0,0,0,1,0,0,0,0,3,1,0,0,0,15,15,0,0,2,28,19,0
C70040,Tokugawa,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,17,15,0,0
C70041,Odyssey,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,15,0,15,0,0,17,0,23,0
C70042,Ebony,0,15,0,0,0,0,5,0,0,0,0,4,0,0,0,0,1,0,0,0,0,6,0,0,0,0,31,0,0,0
C70043,Ebony,2,7,0,0,5,0,1,0,0,2,0,0,0,0,1,1,4,0,0,0,0,13,0,0,14,3,25,0,0,22
C70044,Ebony,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,25,0,0,0
C70045,Ebony,2,3,0,2,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,6,0,15,0,9,12,0,19,0
C70046,Centaur,4,0,2,4,0,1,0,2,3,0,1,0,0,0,0,1,0,0,1,0,15,0,15,15,0,22,0,19,23,0
C70047,Odyssey,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,0,0,15,15,15,0,0,17,17
C70048,Cosmos,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,29
C70049,Centaur,4,1,0,5,1,0,0,0,3,1,1,0,0,0,0,0,1,0,2,0,15,15,0,15,15,20,17,0,25,17
C70050,Odyssey,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,23,0
C70051,Cosmos,2,0,0,10,15,2,0,0,4,7,0,0,0,1,4,0,0,0,3,0,15,0,0,15,14,19,0,0,33,40
C70052,Centaur,7,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,19,0,0,2,0
C70053,Ebony,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,24,0,0,0
C70054,Centaur,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,29,0,0,0,0
C70055,Cosmos,0,1,0,2,3,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,0,17,0,19,21
C70056,Cosmos,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13
C70057,Centaur,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,31,0,0,0,0
C70058,Cosmos,0,0,0,0,12,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,34
C70059,Centaur,5,0,0,0,3,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15,0,0,0,7,25,0,0,0,12
C70060,Ebony,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,17,0,0,15
C70061,Ebony,0,9,2,0,8,0,3,0,0,1,0,1,0,0,2,0,1,1,0,0,0,15,15,0,15,0,29,18,0,26
C70062,Cosmos,0,1,0,1,6,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,15,0,15,15,0,17,0,17,26
C70063,Cosmos,0,1,0,3,2,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,15,0,15,15,0,17,0,20,19
C70064,Centaur,2,2,0,4,1,2,0,0,3,1,0,0,0,0,0,0,2,0,1,0,15,15,0,15,15,19,19,0,23,17
C70065,Cosmos,0,0,1,0,10,0,0,1,0,6,0,0,0,0,2,0,0,0,0,0,0,0,15,0,15,0,0,17,0,33
C70066,Ebony,0,8,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,11,0,0,0,0,25,0,0,0
C70067,Ebony,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15,0,0,0,0,26,0,0,0
C70068,Centaur,12,2,0,0,0,6,1,0,0,0,2,0,0,0,0,1,1,0,0,0,15,15,0,0,0,36,19,0,0,0
C70069,Centaur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,17,15,0,0,0
C70070,Centaur,8,1,0,0,0,3,0,0,0,0,2,0,0,0,0,1,1,0,0,0,15,15,0,0,0,29,17,0,0,0
C70071,Odyssey,0,0,0,19,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,47,0
C70072,Cosmos,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,19
C70073,Tokugawa,1,2,11,0,6,0,0,0,0,2,0,0,3,0,2,1,1,3,0,0,15,15,14,0,15,17,18,31,0,25
C70074,Cosmos,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0,0,15,15,17,0,0,17
C70075,Ebony,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,24,0,0,0
C70076,Ebony,0,9,0,0,1,0,6,0,0,1,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,23,0,0,2
C70077,Ebony,0,19,0,0,0,0,6,0,0,0,0,1,0,0,0,0,10,0,0,0,0,15,0,0,0,0,51,0,0,0
C70078,Odyssey,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,26,0
C70079,Centaur,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,27,0,0,0,0
C70080,Centaur,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,20,0,0,0,0
C70081,Odyssey,1,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,17,0,0,23,0
C70082,Ebony,0,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0
C70083,Ebony,7,10,0,0,0,0,6,0,0,0,0,0,0,0,0,7,4,0,0,0,15,15,0,0,0,29,35,0,0,0
C70084,Ebony,0,13,2,0,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0,15,15,0,0,0,33,19,0,0
C70085,Cosmos,0,0,0,0,9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,15,0,13,0,0,15,0,25
C70086,Odyssey,0,1,3,7,2,0,0,1,4,0,0,0,1,1,1,0,1,0,0,0,0,15,15,15,15,0,17,20,27,18
C70087,Centaur,5,2,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,15,15,0,0,15,22,18,0,0,17
C70088,Centaur,8,0,0,0,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,15,30,0,0,0,17
C70089,Odyssey,1,0,0,4,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,15,0,0,15,0,17,0,0,22,0
C70090,Odyssey,1,2,0,11,0,1,1,0,3,0,0,0,0,3,0,0,1,0,0,0,15,15,0,15,0,17,19,0,32,0
C70091,Odyssey,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,15,0,15,0,0,15,0,29,0
C70092,Odyssey,0,0,0,16,3,0,0,0,8,0,0,0,0,4,1,0,0,0,0,0,0,0,0,15,3,0,0,0,43,7
C70093,Tokugawa,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,19,0,0
C70094,Odyssey,0,1,0,8,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,0,17,0,31,15
C70095,Odyssey,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,15,0,19,0
C70096,Odyssey,0,0,0,16,0,0,0,0,8,0,0,0,0,2,0,0,0,0,4,0,0,0,0,15,15,0,0,0,45,15
C70097,Cosmos,0,0,4,0,4,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,10,0,0,0,0,17,0,6
C70098,Ebony,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,23,0,0,0
C70099,Cosmos,0,1,0,0,10,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,2,0,0,27
C70100,Odyssey,1,2,2,9,0,1,0,0,4,0,0,0,1,1,0,0,1,0,1,0,0,0,7,15,0,2,3,10,30,0
C70101,Odyssey,0,0,0,16,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,35,0
C70102,Centaur,14,1,0,0,2,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15,15,0,0,15,43,17,0,0,18
C70103,Odyssey,0,1,1,11,0,0,0,0,4,0,0,0,0,3,0,0,1,1,0,0,0,12,15,15,0,0,14,17,33,0
C70104,Odyssey,4,2,0,8,0,2,1,0,3,0,1,0,0,1,0,0,1,0,3,0,15,15,0,15,0,22,19,0,30,0
C70105,Odyssey,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,15,0,0,15,0,17,0,0,22,0
C70106,Cosmos,0,0,0,0,13,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,15,15,0,0,15,15,15,0,0,36
C70107,Cosmos,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,15,17,0,0,0,18
C70108,Ebony,0,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,0,28,0,0,0
C70109,Centaur,15,0,3,0,0,8,0,1,0,0,1,0,1,0,0,5,0,0,0,0,15,0,15,0,0,44,0,20,0,0
C70110,Centaur,8,3,0,0,0,2,1,0,0,0,3,0,0,0,0,0,1,0,0,0,4,3,0,0,0,17,8,0,0,0
C70111,Ebony,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,23,0,0,0
C70112,Ebony,1,8,0,0,1,1,5,0,0,1,0,0,0,0,0,0,2,0,0,0,15,15,0,0,15,17,30,0,0,17
C70113,Odyssey,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,33,0
C70114,Cosmos,0,3,0,6,17,0,1,0,2,9,0,1,0,2,3,0,0,0,0,0,0,10,0,15,14,0,15,0,25,43
C70115,Centaur,14,0,10,0,0,2,0,2,0,0,0,0,1,0,0,10,0,2,0,0,15,0,15,0,0,41,0,30,0,0
C70116,Odyssey,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,15,0,0,31,0
C70117,Tokugawa,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,15,15,0,0,0,15,43,0,0
C70118,Odyssey,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,15,0,17,0
C70119,Odyssey,0,0,0,12,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,32,0
C70120,Tokugawa,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,20,0,0
C70121,Odyssey,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,15,0,25,0
C70122,Centaur,11,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,15,0,0,0,0,34,0,0,0,0
C70123,Odyssey,0,0,0,15,0,0,0,0,10,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,0,44,0
C70124,Cosmos,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17
C70125,Centaur,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,33,0,0,0,0
C70126,Tokugawa,0,7,8,0,0,0,2,2,0,0,0,1,2,0,0,0,3,2,0,0,0,15,15,0,0,0,28,29,0,0
C70127,Centaur,13,0,0,0,1,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,7,15,0,0,15,27,15,0,0,17
C70128,Odyssey,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,25,0
C70129,Odyssey,0,0,0,7,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,28,0
C70130,Centaur,12,6,2,0,0,2,4,0,0,0,5,1,1,0,0,0,0,0,0,0,15,5,15,0,0,34,16,18,0,0
C70131,Centaur,2,0,4,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,15,0,15,0,0,19,0,22,0,0
C70132,Cosmos,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,21
C70133,Centaur,8,2,0,7,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,15,0,15,0,10,18,0,25,0
C70134,Ebony,3,2,0,0,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,15,0,0,4
C70135,Centaur,8,0,0,2,0,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,0,15,0,20,0,0,19,0
C70136,Centaur,8,0,0,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15,0,0,15,0,30,0,0,17,0
C70137,Odyssey,0,0,0,14,0,0,0,0,6,0,0,0,0,2,0,0,0,0,3,0,0,0,0,15,0,0,0,0,40,0
C70138,Tokugawa,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,25,0,0
C70139,Centaur,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,0,0,0
C70140,Centaur,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,17,0,0,0,17
C70141,Cosmos,0,0,0,0,15,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,42
C70142,Tokugawa,0,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,15,0,0,0,0,32,0,0
C70143,Ebony,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,23,0,0,0
C70144,Ebony,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,31,0,0,0
C70145,Ebony,0,5,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,0,0,0,25,17,0,0
C70146,Ebony,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,33,0,0,0
C70147,Cosmos,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,15,0,0,17,0,17,0,0
C70148,Ebony,0,17,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,35,0,0,0
C70149,Ebony,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,25,0,0,0
C70150,Tokugawa,0,1,18,0,0,0,0,11,0,0,0,0,0,0,0,0,1,5,0,0,0,0,15,0,0,0,2,49,0,0
C70151,Odyssey,0,1,0,14,0,0,0,0,9,0,0,0,0,0,0,0,1,0,5,0,0,0,0,15,0,0,2,0,43,0
C70152,Cosmos,0,0,0,0,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,26
C70153,Cosmos,0,3,9,0,6,0,3,2,0,5,0,0,1,0,0,0,0,3,0,1,0,14,14,0,6,0,20,29,0,18
C70154,Centaur,7,0,0,3,7,3,0,0,3,1,0,0,0,0,3,4,0,0,0,0,15,0,0,15,15,29,0,0,21,26
C70155,Odyssey,1,5,0,8,6,1,2,0,4,0,0,0,0,2,1,0,3,0,0,0,15,15,0,15,15,17,25,0,29,22
C70156,Odyssey,0,1,0,16,1,0,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,0,17,0,47,17
C70157,Ebony,1,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,15,15,0,0,0,17,19,0,0,2
C70158,Tokugawa,0,1,6,0,4,0,1,5,0,0,0,0,0,0,2,0,0,1,0,0,0,15,15,0,15,0,17,27,0,21
C70159,Ebony,3,3,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,15,15,15,15,0,20,20,17,17,0
C70160,Centaur,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0
C70161,Tokugawa,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,22,0,0
C70162,Tokugawa,0,2,17,4,0,0,0,0,4,0,0,0,3,0,0,0,1,9,0,0,0,15,15,15,0,0,18,44,23,0
C70163,Cosmos,0,0,0,0,17,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,41
C70164,Tokugawa,0,0,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,27,0,0
C70165,Odyssey,0,1,0,6,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,15,0,15,0,0,17,0,26,0
C70166,Cosmos,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17
C70167,Centaur,3,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,16,19,0,0,0
C70168,Centaur,5,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,15,0,0,0,15,15,0,0,3
C70169,Centaur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0
C70170,Odyssey,3,0,0,5,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,15,0,0,15,0,20,0,0,25,0
C70171,Ebony,0,11,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15,0,0,0,0,31,0,0,0
C70172,Odyssey,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,15,0,9,15,0,15,0,17,15
C70173,Odyssey,5,0,0,15,0,2,0,0,10,0,1,0,0,1,0,1,0,0,1,0,15,0,0,15,0,24,0,0,42,0
C70174,Cosmos,0,0,0,1,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,17,25
C70175,Centaur,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,21,0,0,0,0
C70176,Ebony,4,11,0,8,0,1,1,0,2,0,1,1,0,2,0,0,4,0,0,0,15,15,0,15,0,21,32,0,27,0
C70177,Cosmos,0,0,0,0,10,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,13,0,0,0,0,27
C70178,Centaur,4,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,15,0,15,0,0,21,0,20,0,0
C70179,Tokugawa,0,0,11,7,0,0,0,3,2,0,0,0,1,2,0,0,0,2,1,0,0,0,15,15,0,0,0,32,27,0
C70180,Tokugawa,4,0,8,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,15,0,0,23,0,24,0,0
C70181,Centaur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,15,17,15,0,0,15
C70182,Tokugawa,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,0,15,0,0,18,0,17
C70183,Odyssey,0,8,0,20,0,0,1,0,12,0,0,1,0,2,0,0,3,0,2,0,0,10,0,15,0,0,23,0,51,0
C70184,Odyssey,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,19,0
C70185,Cosmos,2,1,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,15,15,0,0,15,18,17,0,0,20
C70186,Cosmos,0,2,0,0,20,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,4,0,0,41
C70187,Ebony,3,13,0,1,1,1,1,0,0,0,0,1,0,0,0,2,7,0,1,1,7,4,0,15,0,13,26,0,17,2
C70188,Centaur,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,35,0,0,0,0
C70189,Ebony,0,13,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,38,0,0,0
C70190,Odyssey,0,1,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,17,0,23,0
C70191,Odyssey,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,15,0,15,0,0,15,0,24,0
C70192,Odyssey,0,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,15,0,15,0,0,19,0,19,0
C70193,Tokugawa,2,2,21,0,0,0,0,2,0,0,0,0,2,0,0,1,1,1,0,0,15,15,15,0,0,18,18,41,0,0
C70194,Cosmos,0,1,0,5,2,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,15,0,15,7,0,17,0,24,11
C70195,Odyssey,2,0,4,12,2,0,0,0,11,2,0,0,1,0,0,2,0,0,1,0,15,0,15,15,15,19,0,20,39,19
C70196,Ebony,0,9,0,2,0,0,4,0,1,0,0,2,0,0,0,0,0,0,1,0,0,15,0,15,0,0,30,0,19,0
